COMMAND|claude|ver=2.1.80|status=installed|ck=0b146fe609bd591f|ep=0b146fe609bd591f|on_disk=0b146fe609bd591f|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/claude
COMMAND|etcdctl|ver=3.5.14|status=installed|ck=03477c42e0630150|ep=03477c42e0630150|on_disk=03477c42e0630150|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/etcdctl
COMMAND|ffmpeg|ver=1.2.113|status=installed|ck=b16b84faeef7ae7b|ep=b16b84faeef7ae7b|on_disk=b16b84faeef7ae7b|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/ffmpeg
COMMAND|mc|ver=RELEASE.2025-08-13T08-35-41Z|status=installed|ck=01f866e9c5f9b87c|ep=01f866e9c5f9b87c|on_disk=01f866e9c5f9b87c|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/mc
COMMAND|rclone|ver=1.73.1|status=installed|ck=10ffca7640f0483b|ep=10ffca7640f0483b|on_disk=10ffca7640f0483b|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/rclone
COMMAND|restic|ver=0.18.1|status=installed|ck=01143daba61a1dc8|ep=01143daba61a1dc8|on_disk=01143daba61a1dc8|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/restic
COMMAND|sctool|ver=1.2.70|status=installed|ck=93e81a8f06793377|ep=93e81a8f06793377|on_disk=93e81a8f06793377|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/sctool
COMMAND|sha256sum|ver=9.4.0|status=installed|ck=9992e1f1feb6f0f3|ep=9992e1f1feb6f0f3|on_disk=9992e1f1feb6f0f3|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/sha256sum
COMMAND|yt-dlp|ver=2026.2.21|status=installed|ck=057098b1390e8d49|ep=057098b1390e8d49|on_disk=057098b1390e8d49|proof=|cls=CORRECT|binp=/usr/lib/globular/bin/yt-dlp
INFRASTRUCTURE|alertmanager|ver=0.28.1|status=installed|ck=807769e911ea92b5|ep=(empty)|on_disk=12e5415ef0e8c0a5|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/alertmanager
INFRASTRUCTURE|claude|ver=2.1.80|status=installed|ck=2eabab75611ec3f3|ep=(empty)|on_disk=0b146fe609bd591f|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/claude
INFRASTRUCTURE|envoy|ver=1.35.3|status=installed|ck=6e421e3939b0dce4|ep=(empty)|on_disk=241c1702f0ed1c0d|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/envoy
INFRASTRUCTURE|etcdctl|ver=3.5.14|status=installed|ck=700975d9fd7d226a|ep=(empty)|on_disk=03477c42e0630150|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/etcdctl
INFRASTRUCTURE|etcd|ver=1.2.79|status=installed|ck=(empty)|ep=(empty)|on_disk=d33ec103d8c3fda7|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/etcd
INFRASTRUCTURE|ffmpeg|ver=1.2.113|status=installed|ck=620e6a6bfbc4ed16|ep=(empty)|on_disk=b16b84faeef7ae7b|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/ffmpeg
INFRASTRUCTURE|gateway|ver=1.2.113|status=failed|ck=(empty)|ep=(empty)|on_disk=aac47e6e68a6a69f|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/gateway
INFRASTRUCTURE|globular-cli|ver=1.2.113|status=failed|ck=(empty)|ep=(empty)|on_disk=(empty)|proof=|cls=NO_BINARY_AT_EXPECTED_PATH|binp=
INFRASTRUCTURE|keepalived|ver=0.0.1|status=installed|ck=b1647bee5f88c184|ep=(empty)|on_disk=(empty)|proof=|cls=NO_BINARY_AT_EXPECTED_PATH|binp=
INFRASTRUCTURE|mc|ver=RELEASE.2025-08-13T08-35-41Z|status=installed|ck=e93f2850635d3d51|ep=(empty)|on_disk=01f866e9c5f9b87c|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/mc
INFRASTRUCTURE|minio|ver=1.2.70|status=installed|ck=4ae4b4b064aaac52|ep=(empty)|on_disk=7c5bd8512c6e9664|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/minio
INFRASTRUCTURE|node-exporter|ver=1.10.2|status=failed_binary_hash_mismatch|ck=(empty)|ep=(empty)|on_disk=d468d806a3b98257|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/node_exporter
INFRASTRUCTURE|prometheus|ver=3.5.1|status=installed|ck=fff0ac58357dd344|ep=(empty)|on_disk=0ed1645904a935ae|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/prometheus
INFRASTRUCTURE|rclone|ver=1.73.1|status=installed|ck=ca051441107fb2da|ep=(empty)|on_disk=10ffca7640f0483b|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/rclone
INFRASTRUCTURE|restic|ver=0.18.1|status=installed|ck=b88ad899aa17efac|ep=(empty)|on_disk=01143daba61a1dc8|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/restic
INFRASTRUCTURE|sctool|ver=1.2.70|status=installed|ck=531b009b143758a7|ep=(empty)|on_disk=93e81a8f06793377|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/sctool
INFRASTRUCTURE|scylladb|ver=2025.3.8|status=installed|ck=(empty)|ep=(empty)|on_disk=(empty)|proof=|cls=NO_BINARY_AT_EXPECTED_PATH|binp=
INFRASTRUCTURE|scylla-manager-agent|ver=1.2.108|status=failed_binary_hash_mismatch|ck=(empty)|ep=(empty)|on_disk=0ad6cad5e09bc181|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/scylla_manager_agent
INFRASTRUCTURE|scylla-manager|ver=1.2.72|status=updating|ck=(empty)|ep=(empty)|on_disk=5ee875cea242cc78|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/scylla_manager
INFRASTRUCTURE|sha256sum|ver=9.4.0|status=installed|ck=720196de0f36f2c2|ep=(empty)|on_disk=9992e1f1feb6f0f3|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/sha256sum
INFRASTRUCTURE|sidekick|ver=7.0.0|status=installed|ck=f76ed46061c03861|ep=(empty)|on_disk=a6da94c3758dbc36|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/sidekick
INFRASTRUCTURE|xds|ver=1.2.113|status=failed|ck=(empty)|ep=(empty)|on_disk=c01732577cd7c53a|proof=|cls=CHECKSUM_EMPTY_FIX_FROM_DISK|binp=/usr/lib/globular/bin/xds
INFRASTRUCTURE|yt-dlp|ver=2026.2.21|status=installed|ck=f88a17314f46046c|ep=(empty)|on_disk=057098b1390e8d49|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/yt-dlp
SERVICE|ai-executor|ver=1.2.113|status=installed|ck=5047a3047fe4acd4|ep=(empty)|on_disk=4b7ff915437a964b|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/ai_executor_server
SERVICE|ai-memory|ver=1.2.113|status=installed|ck=7408afdf41fd1eb0|ep=(empty)|on_disk=388ddcc9201275d8|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/ai_memory_server
SERVICE|ai-router|ver=1.2.113|status=installed|ck=31d688618de07745|ep=(empty)|on_disk=f12000d5446fc99f|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/ai_router_server
SERVICE|ai-watcher|ver=1.2.113|status=installed|ck=4f3555616c16a25f|ep=(empty)|on_disk=27fb17baf5e6d3b2|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/ai_watcher_server
SERVICE|authentication|ver=1.2.113|status=installed|ck=03ed17616e3291f0|ep=(empty)|on_disk=46dff7dee677fde6|proof=|cls=BOTH_WRONG_NEED_DEEPER_INVESTIGATION|binp=/usr/lib/globular/bin/authentication_server
